Variable,Type of data,Full tag name (tags only),Description,Associated general approach tag (specific practice tags only),Alternate tag category (specific practice tags only)
school_id,Metadata,,Canopy school ID number assigned by the Christensen Institute,,
nominator_id,Metadata,,Canopy nominator ID number(s) assigned by the Christensen Institute,,
conf_status,Metadata,,Indicates whether the school confirmed the data,,
school_name,School information,,Name of the school,,
school_city,School information,,City where the school is located,,
school_state,School information,,State where the school is located,,
school_district,School information,,School district,,
school_within_school,School information,,Indicates whether the entity represented by the NCES ID is a larger entity than the school represented by Canopy data.,,
nominator,Metadata,,Name of nominator(s),,
nominator_reason,School information,,"Nominator's response to ""What makes this school notable? Why are you excited to nominate it?""",,
school_purpose,School information,,"School leader's response to ""What is your school's core purpose?""",,
school_model,School information,,"School leader's response to ""Would you like to describe your school's model in your own words?""",,
stage_n,School information,,Stage of the school's model as reported by the nominator,,
implementation_years,School information,,Years of implementation of the school's model as reported by the school leader,,
blended_learning,Tag - general approach,blended learning,"Students learn both online and in-person, in which both learning enviroments are connected to provide an integrated learning experience.",,
competency_education,Tag - general approach,competency/mastery-based education,A systems model in which teaching and learning are designed to ensure students are becoming proficient by advancing on demonstrated mastery.,,
equity,Tag - general approach,designing for equity,"The school puts historically marginalized students at the center, with the goal of improving supports and outcomes for these students. Examples of marginalized students include: students with learning differences, students in foster care, students in the justice system, students with low academic performance. ",,
experiential,Tag - general approach,"experiential, work-based & place-based learning","Students learn through real-world experiences inside and outside the classroom (e.g. internships and apprenticeships, service projects, projects in the community, career training).",,
staffing_infrastructure,Tag - general approach,flexible staffing & infrastructure,"The school makes creative use of staffing, systems, and resources to support student-centered learning.",,
learner_agency,Tag - general approach,learner agency,"Students have ownership over their learning by setting learning goals, initiating action toward those goals, and reflecting on their growth. ",,
maker,Tag - general approach,maker/design-centered learning,"Students learn through the creative process of design, resulting in either physical or digital creations. ",,
pbl,Tag - general approach,project-based learning,Students learn through answering complex questions or solving for real-world problems. Also called problem-based learning or inquiry-based learning.,,
redefining_success,Tag - general approach,redefining measures of success,"The school defines student success beyond traditional measures such as GPA, and assesses students along the expanded definition of success. (May include career readiness, social-emotional skills, purpose and agency, etc.)",,
sel,Tag - general approach,social-emotional learning & school culture,"The school creates a culture supportive of students' social and emotional development (e.g. self-management, social awareness, relationship skills, etc).",,
