Field,Type of Data,Description,Full tag name (tags only),Source,Notes
"Fields from ""Fall 2020 School Data""",,,,,
school_id,Metadata,Canopy school ID number assigned by the Canopy project,,,
school_name,School information,Name of the school ,,School Survey,
school_city,School information,City where the school is located,,School Survey,
school_state,School information,State where the school is located,,School Survey,
school_district,School information,School district,,School Survey,
school_within_school,School information,Indicates whether the entity represented by the NCES ID is a larger entity than the school represented by Canopy data.,,School Survey,
leader_tenure,School information,Number of years the current school leader has been in their position at the school,,School Survey,
interest_participate_research,School information,"Survey respondent's answer to the question ""Are you interested in partnering with researchers to answer key questions about your school’s model?""",,School Survey,
measure_success,School information,"Survey respondent's answer to the question ""How do you measure the success of your school model?""",,School Survey,
willing_share_evidence,School information,,,School Survey,
tag_evaluation_s,School information,"Survey respondent evaluation of how well the tags allowed them to describe the school's model (Very Well, Well, Not Very Well, Poorly)",,School Survey,
suggested_tags_s,School information,Survey respondent's suggestions for additional keywords that could be used to describe the school (beyond selected tags),,School Survey,
promising_practices,School information,"Survey respondent 's answer to the question ""The Canopy project focuses on documenting the practices that innovative schools are implementing at a schoolwide level, but many schools are experimenting with smaller-scale innovations this year - for example, within specific grade levels or classrooms.  Would you like to highlight any promising practices that have emerged in your school so far this year, but are not part of your whole-school model?""",,School Survey,
public_contact,School information,,,School Survey,
public_contact_role,School information,,,School Survey,
public_contact_email,School information,,,School Survey,
blended_learning,Tag - General Approach,"Students learn both online and in-person, in which both learning environments are connected to provide an integrated learning experience, and with some element of student control over the time, place, path, or pace of learning.",Blended Learning,School Survey,
competency_education,Tag - General Approach,"The school's model is designed to ensure students are becoming proficient by advancing on demonstrated mastery. May include a deliberate focus on student agency, transparent learning expectations, timely/differentiated supports, varied pacing and pathways, meaningful and formative assessment.",Competency/Mastery-Based Education,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
design_equity,Tag - General Approach,"The school designs for and with historically marginalized students, with the goal of improving experiences, supports, and outcomes for these students, who may include: students with learning differences, students in foster care, students in the justice system, students with low academic performance, students from historically disenfranchised racial and cultural groups.",Designing for Equity,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
expanded_success,Tag - General Approach,"The school defines student success beyond traditional measures such as GPA, and assesses students along the expanded definition of success. (May include career readiness, social-emotional skills, purpose and agency, etc.)",Expanded Measures of Success,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
anti_racist_action,Tag - General Approach,The school is building a culture of taking direct action to counter and dismantle policies and practices that create or perpetuate inequality between racial groups.,Culture of Anti-Racist Action,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
pbl,Tag - General Approach,"Students learn through answering complex questions or solving for real-world problems. Also called problem-based learning, inquiry-based learning, or learning-by-doing.",Project-Based Learning,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
sel,Tag - General Approach,"The school has a comprehensive strategy to support students' social and emotional development (e.g. self-management, social awareness, relationship skills, etc), which manifests across curriculum, school culture, classroom management, discipline, and behavior expectations.",Social-Emotional Learning,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
community_supports,Tag - Specific Practice,"The school offers (or partners to offer) social and wraparound support services to families and the community at large, e.g. through adult learning, childcare, family counseling, financial advising.",Family and Community Support Services,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
reallocation_resources,Tag - Specific Practice,Example: assigning most experienced and highest skilled teachers to students needing the most help.,Reallocation of Resources for Those Most In Need,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
service_learning,Tag - Specific Practice,"Students engage in meaningful community service to enrich the learning experience, learn civic responsibility, and strengthen their communities.",Service Learning,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
circles,Tag - Specific Practice,"Dialogue circles are gatherings in which all participants sit in a circle facing each other to facilitate open, direct communication. They provide a safe, supportive space where all school community members can talk about sensitive topics, work through differences, and build consensus.",Dialogue Circles,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
career_prep,Tag - Specific Practice,"The school offers career-oriented learning opportunities, e.g. career tech and vocational training, interview practice, internships and apprenticeships, etc.",Career Training and Preparation,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
culturally_relevant,Tag - Specific Practice,Pedagogy and curriculum are continually adapted to be relevant to the cultural environment and background of students attending the school.,Practice of Culturally Relevant Pedagogy,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
community_partnerships,Tag - Specific Practice,"The school has developed partnerships with businesses and the community, which may help facilitate experiential learning, internships, mentorships, etc.",Community and Business Partnerships,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
restorative_practice,Tag - Specific Practice,Restorative practices are used to resolve conflict and strengthen relationships among individuals and within communities. (In contrast to reacting to harmful or hurtful behavior with punishment or suspension.),Culture of Restorative Practice,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
sel_integrated,Tag - Specific Practice,The school integrates social and emotional learning throughout the academic curriculum (in contrast to a stand-alone SEL curriculum).,Social and Emotional Learning Integrated Across Academics,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
assessments_sel,Tag - Specific Practice,"The school uses strategies to assesses school climate, social-emotional, and noncognitive skills e.g. self-management, social awareness, relationship skills, belonging, etc.",Assessments for Social-Emotional Skills and School Climate,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
mental_health,Tag - Specific Practice,The school offers (or partners to offer) comprehensive counseling and mental health services for students.,Mental Health Services,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
physical_well_being,Tag - Specific Practice,"The school offers (or partners to offer) comprehensive services to support the physical health and well-being of students, e.g. supports related to nutrition, housing, abuse, bullying.",Physical Well Being Services,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
trauma_informed,Tag - Specific Practice,"Adults in the school community are trained to recognize and respond to those who have been impacted by traumatic stress, and students are provided with clear expectations and communication strategies to guide them through stressful situations.",Trauma-Informed Instruction,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
learning_paths,Tag - Specific Practice,Students identify and follow unique learning pathways that are relevant to their interests and passions.,Individual Learning Paths,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
interdisciplinary,Tag - Specific Practice,"Projects and learning activities develop knowledge and skills across multiple subject areas and highlight connections between subject area domains, with formal collaboration among teachers across subject areas.",Interdisciplinary,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
